zipcode,crime_count,license_count,population,poverty,density,alcohol_density,crime_density,poverty_rate,log_alcohol_density,log_crime_density,cbrt_pop_density
91901,1283,10,18669,1622,92.6,0.0005356473297980609,0.06872355241309122,0.08688199689324548,-7.532034580243282,-2.677663308621691,4.524149998557526
91902,1038,6,17121,888,589.3,0.0003504468196951113,0.06062729980725425,0.05186612931487647,-7.956301589976762,-2.803009995478984,8.383888239531524
91906,278,1,4281,1103,15.7,0.000233590282644242,0.06493809857509927,0.2576500817565989,-8.361941906144946,-2.734320792454309,2.5039936170122448
91910,9366,40,76313,8299,2340.9,0.000524157089879837,0.12273138259536383,0.10874949222281918,-7.553719128724212,-2.0977571930946612,13.27784579418651
91911,8699,17,87799,9752,2663.4,0.00019362407316712035,0.09907857720475176,0.11107188008975045,-8.549592045980491,-2.311842034529166,13.861560722863404
91913,2393,5,56102,3057,2381.4,8.912338241060925e-05,0.042654450821717586,0.054490036005846496,-9.325488829065105,-3.154623653590832,13.353981895148912
91914,823,3,17373,586,1009.6,0.0001726817475392851,0.04737235940827721,0.03373050135267369,-8.66406026722579,-3.04971635521683,10.031898142662504
91915,1473,13,35608,2272,1778.8,0.0003650864974163109,0.041367108514940465,0.06380588631768142,-7.915376253234154,-3.1852691942330598,12.116458716976476
91916,70,1,1833,24,11.4,0.0005455537370430987,0.038188761593016915,0.01309328968903437,-7.513709247839705,-3.265214005790346,2.250617114677132
91917,43,1,851,316,6.3,0.0011750881316098707,0.05052878965922444,0.37132784958871917,-6.7464121285733745,-2.9852120128798116,1.8469147504478334
91932,2822,8,26157,3997,2361.5,0.00030584547157548646,0.10788699009825285,0.15280804373590243,-8.092430578416089,-2.2266709876831654,13.316680599030711
91935,441,2,9320,435,34.1,0.00021459227467811158,0.0473175965665236,0.04667381974248927,-8.446770727119691,-3.050873032232791,3.242784782542985
91941,2304,20,33602,2901,1577.7,0.0005952026665079459,0.06856734718171538,0.08633414677697757,-7.426608594435357,-2.679938846173566,11.641478538227334
91942,3670,24,40995,4766,2743.1,0.0005854372484449323,0.08952311257470423,0.11625808025368947,-7.4431515566823325,-2.413258445981662,13.998469220383614
91945,3366,4,27541,2710,2690.1,0.00014523800878689952,0.12221778439417595,0.09839875095312443,-8.837136721324159,-2.1019507076932973,13.907726498110694
91950,4901,19,57844,8154,3043.8,0.00032846967706244383,0.08472788880437038,0.14096535509300878,-8.021066031568242,-2.468310465825135,14.492346337346538
91977,6321,7,65497,6982,2549.8,0.00010687512405148327,0.0965082370184894,0.10660030230392231,-9.143849469992391,-2.338126916575405,13.661614895393342
91978,743,1,11006,2017,355.9,9.085953116481919e-05,0.06750863165546066,0.1832636743594403,-9.306195857619704,-2.6954998129019447,7.086677390641784
92003,354,5,4404,571,113.2,0.0011353315168029065,0.08038147138964577,0.12965485921889192,-6.78083058540847,-2.5209715847087963,4.837438710394242
92004,168,8,3200,136,1.4,0.0025,0.0525,0.0425,-5.991464547107982,-2.946942109384559,1.1186889420813968
92007,907,10,11939,1680,1993.2,0.0008375910880308234,0.07596951168439568,0.14071530278917832,-7.084980538351343,-2.5774231812302517,12.584915180093338
92008,3821,41,27373,2319,1016.2,0.0014978263252109743,0.13959010703978372,0.08471851824790852,-6.503740338384798,-1.9690449576422064,10.053710996389013
92009,1727,17,46334,2898,1468.2,0.0003669011956662494,0.037272844995036046,0.06254586264945829,-7.910417967774198,-3.2894902336837357,11.365670811505764
92014,1485,21,12532,506,767.4,0.0016757101819342482,0.11849664857963613,0.04037663581232046,-6.391518214348659,-2.1328706008352825,9.155328497771087
92019,2330,14,45937,4256,558.9,0.0003047652219343884,0.05072164050765179,0.09264862746805408,-8.095968841926958,-2.98140262498247,8.237170140831475
92020,3043,19,59775,9337,2076.2,0.0003178586365537432,0.050907570054370556,0.15620242576327897,-8.053903813160085,-2.9777436424295542,12.75723029608065
92021,4340,15,69638,11949,958.9,0.00021539963812860794,0.0623222952985439,0.1715873517332491,-8.443015473240575,-2.775436047248334,9.86107903330319
92024,3735,36,50222,2688,1075.8,0.0007168173310501374,0.07436979809645175,0.05352236071841026,-7.240689518233489,-2.5987053591226807,10.246538589298522
92025,2769,35,50270,8650,867.6,0.0006962403023672171,0.055082554207280685,0.17207081758504078,-7.269815695197207,-2.898922233515659,9.537616323623185
92026,2063,9,53053,6044,568.1,0.00016964167907564134,0.038885642659227566,0.11392381203701958,-8.681822115531123,-3.2471301797960908,8.282121481799633
92027,1730,10,55750,6130,360.7,0.00017937219730941703,0.031031390134529147,0.10995515695067265,-8.62604759632832,-3.4727560018305406,7.118394411347713
92028,3585,14,51135,6087,169.2,0.0002737850787132101,0.07010853622763273,0.11903784100909358,-8.203167143624855,-2.6577107202063925,5.530954930156269
92029,1024,5,19986,1000,342.1,0.00025017512258581004,0.0512358651055739,0.05003502451716201,-8.293349394987635,-2.9713155018222817,6.993872188289091
92036,211,1,3075,248,2.4,0.0003252032520325203,0.06861788617886179,0.08065040650406505,-8.031060180240619,-2.679202046764552,1.338865900164339
92037,4496,59,37665,3186,1207.2,0.0015664409929642905,0.11936811363334661,0.08458781362007169,-6.458949116354075,-2.125543168686268,10.647796497990536
92040,3764,7,45906,3423,263.8,0.00015248551387618176,0.08199363917570687,0.07456541628545288,-8.788440957404594,-2.501113605754637,6.413448283903529
92054,5046,38,37050,4922,1914.5,0.0010256410256410256,0.13619433198380568,0.13284750337381918,-6.882437470997847,-1.9936725015232297,12.417050771615976
92056,2990,15,54190,3309,1699.7,0.0002768038383465584,0.05517623177708064,0.06106292673925078,-8.19220146745795,-2.8972230021754277,11.934129829035898
92057,2239,4,58022,4654,1497.1,6.893936782599704e-05,0.03858881114060184,0.08021095446554755,-9.582283166833511,-3.254792911354646,11.439760618982401
92058,1920,7,48272,4477,421.1,0.00014501160092807424,0.039774610540271794,0.09274527676499834,-8.83869681234353,-3.224526496377015,7.495404592279539
92059,502,2,1456,130,20.4,0.0013736263736263737,0.3447802197802198,0.08928571428571429,-6.590301048196686,-1.064848109064902,2.732394416094469
92060,60,1,506,65,2.8,0.001976284584980237,0.11857707509881422,0.12845849802371542,-6.226536669287466,-2.132192107065365,1.4094597464129786
92061,266,3,1677,171,18.6,0.0017889087656529517,0.15861657722122838,0.10196779964221825,-6.326149473155099,-1.8412654530415098,2.6495430563738207
92064,2655,18,48783,2860,444.9,0.00036898099747862984,0.0544246971280979,0.05862698071049341,-7.904765412597667,-2.910937236817793,7.634034797996163
92065,1730,15,36836,1735,84.0,0.00040721033771310675,0.046964925616244976,0.04710066239548268,-7.806180705739048,-3.058354219349433,4.379519139887889
92067,385,4,9186,870,158.4,0.00043544524276072284,0.04191160461571957,0.09470934030045722,-7.739141503765848,-3.172192530597955,5.410678457990481
92069,4078,14,46648,5253,975.1,0.00030012004801920766,0.08742068255873778,0.11260932944606414,-8.111328003286733,-2.4370233817675913,9.916301409076539
92071,4803,22,59795,4909,1224.8,0.00036792373944309723,0.08032444184296346,0.08209716531482565,-7.907634871044592,-2.5216813227380834,10.69929246784592
92075,989,27,12072,617,1363.5,0.0022365805168986083,0.08192511597084162,0.051110006626905236,-6.102807134443355,-2.5019496688249725,11.088812687570574
92078,2793,26,53019,4116,1225.8,0.0004903902374620419,0.05267922820121089,0.0776325468228371,-7.620309080836424,-2.94353405291273,10.702203523240108
92082,1598,6,20678,2130,63.5,0.00029016345874842826,0.07728020117999806,0.10300802785569203,-8.145066142918584,-2.5603174858204185,3.9895560882429013
92083,4651,8,37864,4446,2635.5,0.00021128248468201986,0.12283435453200929,0.11742024086203254,-8.462314529906248,-2.096918542361987,13.812989240330054
92084,4446,11,49971,4595,680.8,0.00022012767405094955,0.08897160353004743,0.09195333293310119,-8.421302843346847,-2.4194380216210756,8.797106486709538
92091,72,2,1288,146,385.4,0.0015527950310559005,0.055900621118012424,0.11335403726708075,-6.467698726104354,-2.8841797876482436,7.2773048833007055
92093,159,2,2044,0,887.7,0.0009784735812133072,0.07778864970645792,0.0,-6.92951677076365,-2.5537597491033637,9.6107085365909
92101,22374,187,46025,7084,3300.8,0.004063009234111896,0.4861271048343292,0.15391634980988594,-5.505831389246692,-0.7212851566944027,14.889258507527476
92102,5879,12,40051,6589,3443.5,0.00029961798706649024,0.14678784549699134,0.16451524306509202,-8.113002271185804,-1.918766962571549,15.100802553721465
92103,6539,57,34296,2682,3593.6,0.001662001399580126,0.1906636342430604,0.07820153953813856,-6.399732740443263,-1.6572444807165372,15.31710107464769
92104,6714,39,46613,4528,4871.3,0.0008366764636474803,0.14403707120331238,0.09714028275373823,-7.086073105036289,-1.9376845736259554,16.951766391794216
92105,9497,9,72688,16721,4876.1,0.0001238168611049967,0.13065430332379485,0.2300379705040722,-8.996707010662965,-2.035200349756232,16.957332446541077
92106,2584,32,20483,1392,1396.3,0.0015622711516867646,0.12615339549870624,0.06795879509837426,-6.4616146500009295,-2.070256687898163,11.17702560928486
92107,3506,25,29435,2561,3757.9,0.0008493290300662477,0.11910990317649058,0.08700526583998641,-7.071063896594161,-2.127708655981182,15.547064716168451
92108,7566,34,24201,2420,2119.7,0.0014049006239411595,0.3126317094334945,0.09999586793934134,-6.567788708988923,-1.1627294284121095,12.84571059021044
92109,10435,79,44009,3667,2233.1,0.0017950873684928082,0.2371105910154741,0.08332386557295099,-6.322701584971353,-1.4392286179270732,13.070816685872169
92110,6979,66,30773,3890,2373.1,0.002144737269684464,0.22678971825951322,0.12640951483443277,-6.1447382190996445,-1.4837320421089184,13.338449425557833
92111,5304,57,47710,5559,2172.6,0.0011947180884510585,0.1111716621253406,0.11651645357367428,-6.729845030675603,-2.196679766644454,12.95169449559892
92113,8375,2,50983,11056,4364.2,3.922876252868603e-05,0.16427044308887276,0.2168565992585764,-10.14610034224528,-1.806241166111958,16.34186236024523
92114,5205,1,66487,8144,3097.2,1.5040534239776197e-05,0.07828598071803511,0.12249011084873734,-11.10476171881173,-2.5473867377626607,14.576606058190512
92115,9956,24,61456,12697,3846.1,0.00039052330122363966,0.16200208279093986,0.20660309815152303,-7.8480229202377405,-1.8201460870982034,15.667758085022871
92116,3624,22,31836,2807,3636.9,0.0006910415881392134,0.11383339615529589,0.08817062445030782,-7.2773105505674245,-2.17301933676287,15.378375225679536
92117,4179,21,54499,5131,2417.8,0.0003853281711591038,0.07668030606066166,0.09414851648654103,-7.861415194135721,-2.5681103694112286,13.421677247550916
92118,416,32,17602,900,883.7,0.00181797523008749,0.023633677991137372,0.05113055334621066,-6.310031908134031,-3.745082550672494,9.596251429982246
92119,1626,6,24419,1562,1436.2,0.0002457103075474016,0.06658749334534583,0.06396658339817356,-8.311357327557214,-2.7092385066775138,11.28249043815736
92120,3157,10,30241,2521,1520.2,0.0003306768956053041,0.10439469594259448,0.08336364538209716,-8.014368805535732,-2.2595764099717863,11.498298424990782
92121,1373,15,4150,747,127.8,0.0036144578313253013,0.3308433734939759,0.18,-5.622813412122534,-1.1061102074567728,5.037057995769087
92122,4174,14,45988,9927,3301.5,0.0003044272418891885,0.09076280768896233,0.21586065930242673,-8.097078442258372,-2.399505684236485,14.890310953831156
92123,4109,18,32951,3275,1477.4,0.0005462656672028163,0.12470031258535401,0.09939000333829019,-7.512405130587624,-2.081841919600379,11.389361163132989
92124,2164,5,31121,1944,1228.1,0.00016066321776292536,0.06953504064779409,0.06246585906622538,-8.736200199018045,-2.665924471485773,10.70889294751727
92126,4399,22,78111,6058,2602.9,0.0002816504717645402,0.05631729205873692,0.07755629808861748,-8.174843717622148,-2.8767536496317443,13.755799206672485
92127,1954,7,51107,1482,870.3,0.00013696753869332968,0.03823351008668088,0.028997984620502085,-8.895766604056085,-3.264042920508671,9.54749987092692
92128,2716,29,49273,2320,1625.2,0.0005885576279098086,0.05512146611734622,0.047084610232784686,-7.4378357126769705,-2.898216053984858,11.757155743881594
92129,2131,7,52495,3218,1549.1,0.0001333460329555196,0.04059434231831603,0.06130107629298028,-8.922563056893729,-3.2041265738504245,11.57070491406415
92130,2297,14,57363,2570,1193.0,0.000244059759775465,0.04004323344316023,0.044802398758781795,-8.31809744554581,-3.217795572471971,10.605882577922877
92131,1401,11,35227,1155,352.0,0.00031226048201663496,0.039770630482300506,0.032787350611746674,-8.071672840213346,-3.2246265666747083,7.060696670652127
92139,2377,2,34930,2894,3769.6,5.72573718866304e-05,0.06805038648726024,0.0828514171199542,-9.767954157240933,-2.687506870440684,15.563182956324118
92154,7011,9,83758,8119,630.4,0.00010745242245516846,0.08370543709257623,0.09693402421261253,-9.13846239017718,-2.480451344306432,8.574432809342209
92173,4166,4,28609,4656,3838.9,0.00013981614177356776,0.14561851165717082,0.16274598902443288,-8.8751822714997,-1.9267650107986733,15.6579751599297
