"Label (Grouping)","Total:"
"Carlsbad city, California",""
"    Carlsbad city, California","114,746"
"Chula Vista city, California",""
"    Chula Vista city, California","275,487"
"Coronado city, California",""
"    Coronado city, California","20,192"
"Del Mar city, California",""
"    Del Mar city, California","3,954"
"El Cajon city, California",""
"    El Cajon city, California","106,215"
"Encinitas city, California",""
"    Encinitas city, California","62,007"
"Escondido city, California",""
"    Escondido city, California","151,038"
"Imperial Beach city, California",""
"    Imperial Beach city, California","26,137"
"La Mesa city, California",""
"    La Mesa city, California","61,121"
"National City city, California",""
"    National City city, California","56,173"
"Oceanside city, California",""
"    Oceanside city, California","174,068"
"Poway city, California",""
"    Poway city, California","48,841"
"San Diego city, California",""
"    San Diego city, California","1,386,932"
"San Marcos city, California",""
"    San Marcos city, California","94,833"
"Santee city, California",""
"    Santee city, California","60,037"
"Solana Beach city, California",""
"    Solana Beach city, California","12,941"
"Vista city, California",""
"    Vista city, California","98,381"